instalador,cidade,uf,telefone,atende_leves,atende_pesados,valor_leves,valor_pesados,parceiro_azimute,ingested_at
OFICINA RÁPIDO,Palhoça,SC,(80) 9816-8149,SIM,NÃO,"R$ 90,00","R$ 0,00",NÃO,2026-02-05 01:55:35.100294 UTC
OFICINA SILVA,Chapecó,SC,(42) 9737-4506,SIM,NÃO,"R$ 100,00","R$ 0,00",NÃO,2026-02-05 01:55:35.100294 UTC
TECH SILVA,São Paulo,SP,(71) 9733-2393,SIM,NÃO,"R$ 100,00","R$ 0,00",NÃO,2026-02-05 01:55:35.100294 UTC
TECH SUL,Carlos Barbosa,SC,(22) 9561-2754,SIM,NÃO,"R$ 100,00","R$ 0,00",NÃO,2026-02-05 01:55:35.100294 UTC
MECÂNICA CENTRAL,Pinhalão,PR,(68) 9808-8495,SIM,SIM,"R$ 100,00","R$ 100,00",NÃO,2026-02-05 01:55:35.100294 UTC
OFICINA SUL,Cascavel,PR,(50) 9137-1788,SIM,SIM,"R$ 100,00","R$ 100,00",NÃO,2026-02-05 01:55:35.100294 UTC
AUTO ELÉTRICA SANTOS,Maringá,PR,(60) 9007-4468,SIM,SIM,"R$ 120,00","R$ 120,00",NÃO,2026-02-05 01:55:35.100294 UTC
AUTO ELÉTRICA SANTOS,Ribeirão Pires,SP,(22) 9807-2376,SIM,SIM,"R$ 80,00","R$ 130,00",NÃO,2026-02-05 01:55:35.100294 UTC
AUTO ELÉTRICA RÁPIDO,Telêmaco Borba,PR,(48) 9759-1377,SIM,SIM,"R$ 140,00","R$ 140,00",NÃO,2026-02-05 01:55:35.100294 UTC
OFICINA CENTRAL,Cascavel,PR,(83) 9419-2234,SIM,SIM,"R$ 150,00","R$ 150,00",NÃO,2026-02-05 01:55:35.100294 UTC
AUTO ELÉTRICA NORTE,Fraiburgo,SC,(62) 9115-4395,SIM,SIM,"R$ 130,00","R$ 160,00",NÃO,2026-02-05 01:55:35.100294 UTC
TECH DO ALEMÃO,Videira,SC,(40) 9113-1274,SIM,NÃO,"R$ 50,00","R$ 50,00",NÃO,2026-02-05 01:55:35.100294 UTC
OFICINA SANTOS,Imbaú,PR,(84) 9615-1215,SIM,SIM,"R$ 70,00","R$ 70,00",NÃO,2026-02-05 01:55:35.100294 UTC
OFICINA SUL,Ibaiti,PR,(57) 9413-3812,SIM,SIM,"R$ 70,00","R$ 70,00",NÃO,2026-02-05 01:55:35.100294 UTC
CENTRO AUTOMOTIVO SUL,Xaxim,SC,(48) 9140-4755,SIM,SIM,"R$ 70,00","R$ 70,00",NÃO,2026-02-05 01:55:35.100294 UTC
MECÂNICA CENTRAL,Navegantes,SC,(78) 9318-6923,SIM,SIM,"R$ 80,00","R$ 80,00",NÃO,2026-02-05 01:55:35.100294 UTC
TECH SUL,Vilhena,RO,(44) 9125-8207,SIM,SIM,"R$ 80,00","R$ 80,00",NÃO,2026-02-05 01:55:35.100294 UTC
AUTO ELÉTRICA RÁPIDO,Sarandi,PR,(20) 9595-4805,SIM,SIM,"R$ 90,00","R$ 90,00",NÃO,2026-02-05 01:55:35.100294 UTC
MECÂNICA SUL,Londrina,PR,(72) 9974-2438,SIM,SIM,"R$ 90,00","R$ 90,00",NÃO,2026-02-05 01:55:35.100294 UTC
CENTRO AUTOMOTIVO NORTE,Japira,PR,(34) 9785-5047,SIM,SIM,"R$ 90,00","R$ 90,00",NÃO,2026-02-05 01:55:35.100294 UTC
ELETRO TOTAL,Blumenau,SC,(81) 9036-3534,SIM,SIM,"R$ 90,00","R$ 90,00",NÃO,2026-02-05 01:55:35.100294 UTC
TECH SANTOS,Sombrio,RS,(47) 9403-9804,SIM,SIM,"R$ 90,00","R$ 90,00",NÃO,2026-02-05 01:55:35.100294 UTC
MECÂNICA TOTAL,Cambé,PR,(60) 9709-3573,SIM,SIM,"R$ 100,00","R$ 100,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA CONFIANÇA,São Paulo,SP,(68) 9885-1059,SIM,SIM,"R$ 100,00","R$ 100,00",SIM,2026-02-05 01:55:35.100294 UTC
CENTRO AUTOMOTIVO TOTAL,Cricipuma,SC,(43) 9477-5654,SIM,SIM,"R$ 65,00","R$ 65,00",SIM,2026-02-05 01:55:35.100294 UTC
MECÂNICA NORTE,Clevelândia,PR,(66) 9258-7219,SIM,SIM,"R$ 65,00","R$ 65,00",SIM,2026-02-05 01:55:35.100294 UTC
CENTRO AUTOMOTIVO SUL,Blumenau,SC,(13) 9782-6972,SIM,SIM,"R$ 70,00","R$ 70,00",SIM,2026-02-05 01:55:35.100294 UTC
CENTRO AUTOMOTIVO CONFIANÇA,Mauá,SP,(41) 9795-9319,,,"R$ 70,00","R$ 70,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO RÁPIDO,Rolândia,PR,(22) 9407-3588,SIM,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
MECÂNICA RÁPIDO,Clevelândia,PR,(80) 9201-6655,SIM,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO DO ALEMÃO,Joaquim Távora,PR,(56) 9913-5713,SIM,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO SILVA,Joinville,SC,(72) 9624-9612,SIM,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA SANTOS,Camboriú,SC,(49) 9910-2900,SIM,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA SANTOS,Vitória da Conquista,BA,(61) 9167-2680,SIM,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA NORTE,Ibaiti,PR,(40) 9540-3001,NÃO,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO SANTOS,Figueira,PR,(99) 9382-2538,NÃO,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
CENTRO AUTOMOTIVO CENTRAL,Rio Grande da Serra,SP,(13) 9134-4011,NÃO,SIM,"R$ 80,00","R$ 80,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA DO ALEMÃO,Pinhalão,PR,(26) 9387-8586,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO SUL,Tubarão,SC,(19) 9901-7436,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
TECH SANTOS,Japira,PR,(35) 9307-8558,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO TOTAL,Irani,SC,(78) 9132-7547,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
TECH SILVA,Campo Magro,PR,(35) 9346-8731,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA CONFIANÇA,Porto Alegre,RS,(28) 9389-5439,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
ELETRO NORTE,Curitiba,PR,(21) 9402-8874,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
MECÂNICA SILVA,Paiçandu,PR,(15) 9223-3564,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
OFICINA SILVA,Londrina,PR,(43) 9286-3391,SIM,SIM,"R$ 90,00","R$ 90,00",SIM,2026-02-05 01:55:35.100294 UTC
