palavra_chave,marca_normalizada
FH,VOLVO
FM,VOLVO
VM,VOLVO
FMX,VOLVO
NL,VOLVO
NH,VOLVO
R 440,SCANIA
R 450,SCANIA
R 500,SCANIA
P 310,SCANIA
G 420,SCANIA
R-440,SCANIA
R-450,SCANIA
R-460,SCANIA
R-560,SCANIA
R-114,SCANIA
R-124,SCANIA
G-420,SCANIA
G-440,SCANIA
G-480,SCANIA
G-360,SCANIA
G-380,SCANIA
G-560,SCANIA
G-400,SCANIA
G-450,SCANIA
G-470,SCANIA
P-340,SCANIA
P-420,SCANIA
P-310,SCANIA
P-320,SCANIA
P-360,SCANIA
P-114,SCANIA
T-112,SCANIA
T-113,SCANIA
T-124,SCANIA
T-114,SCANIA
ACTROS,MERCEDES-BENZ
AXOR,MERCEDES-BENZ
ATEGO,MERCEDES-BENZ
ACCELO,MERCEDES-BENZ
ATRON,MERCEDES-BENZ
SPRINTER,MERCEDES-BENZ
L-1620,MERCEDES-BENZ
L 1620,MERCEDES-BENZ
L-1418,MERCEDES-BENZ
L 1418,MERCEDES-BENZ
L-1113,MERCEDES-BENZ
L 1113,MERCEDES-BENZ
L-1314,MERCEDES-BENZ
L 1313,MERCEDES-BENZ
L-1513,MERCEDES-BENZ
L 1513,MERCEDES-BENZ
L-1518,MERCEDES-BENZ
L 1518,MERCEDES-BENZ
L-1621,MERCEDES-BENZ
L 1621,MERCEDES-BENZ
L-1218,MERCEDES-BENZ
L 1218,MERCEDES-BENZ
L-2638,MERCEDES-BENZ
L 2638,MERCEDES-BENZ
L-2635,MERCEDES-BENZ
L 2635,MERCEDES-BENZ
LS-1634,MERCEDES-BENZ
LS 1634,MERCEDES-BENZ
LS-1935,MERCEDES-BENZ
LS 1935,MERCEDES-BENZ
LS-1938,MERCEDES-BENZ
LS 1938,MERCEDES-BENZ
1938-S,MERCEDES-BENZ
1944-S,MERCEDES-BENZ
2726,MERCEDES-BENZ
2425,MERCEDES-BENZ
2426,MERCEDES-BENZ
1620,MERCEDES-BENZ
1418,MERCEDES-BENZ
1218,MERCEDES-BENZ
1113,MERCEDES-BENZ
1313,MERCEDES-BENZ
1513,MERCEDES-BENZ
1518,MERCEDES-BENZ
1618,MERCEDES-BENZ
1621,MERCEDES-BENZ
2638,MERCEDES-BENZ
2635,MERCEDES-BENZ
1935,MERCEDES-BENZ
1938,MERCEDES-BENZ
1944,MERCEDES-BENZ
608,MERCEDES-BENZ
DAILY,IVECO
TECTOR,IVECO
STRALIS,IVECO
HI-WAY,IVECO
EUROCARGO,IVECO
XF,DAF
CF,DAF
TGX,MAN
CONSTELLATION,VOLKSWAGEN
CONSTEL,VOLKSWAGEN
WORKER,VOLKSWAGEN
DELIVERY,VOLKSWAGEN
METEOR,VOLKSWAGEN
TITAN,VOLKSWAGEN
24-250,VOLKSWAGEN
24.250,VOLKSWAGEN
24-280,VOLKSWAGEN
24.280,VOLKSWAGEN
25-370,VOLKSWAGEN
25.370,VOLKSWAGEN
31-330,VOLKSWAGEN
31.330,VOLKSWAGEN
25-460,VOLKSWAGEN
25.460,VOLKSWAGEN
19-320,VOLKSWAGEN
19.320,VOLKSWAGEN
17-250,VOLKSWAGEN
17.250,VOLKSWAGEN
17-230,VOLKSWAGEN
17.230,VOLKSWAGEN
18-310,VOLKSWAGEN
18.310,VOLKSWAGEN
8-120,VOLKSWAGEN
8.120,VOLKSWAGEN
8-150,VOLKSWAGEN
8.150,VOLKSWAGEN
9-150,VOLKSWAGEN
9.150,VOLKSWAGEN
17-260,VOLKSWAGEN
17.260,VOLKSWAGEN
26-280,VOLKSWAGEN
26.280,VOLKSWAGEN
30-330,VOLKSWAGEN
30.330,VOLKSWAGEN
24-260,VOLKSWAGEN
24.260,VOLKSWAGEN
31-260,VOLKSWAGEN
31.260,VOLKSWAGEN
6-90,VOLKSWAGEN
8-140,VOLKSWAGEN
13-150,VOLKSWAGEN
16-300,VOLKSWAGEN
16-170,VOLKSWAGEN
16 170,VOLKSWAGEN
UP!,VOLKSWAGEN
UP,VOLKSWAGEN
TIGUAN,VOLKSWAGEN
KOMBI,VOLKSWAGEN
CARGO,FORD
F-4000,FORD
F 4000,FORD
F-350,FORD
F 350,FORD
F-1000,FORD
F 1000,FORD
FUSION,FORD
9800,INTERNATIONAL
DURASTAR,INTERNATIONAL
HOWO,SINOTRUK
HD78,HYUNDAI
HR,HYUNDAI
SANTA FE,HYUNDAI
H100,HYUNDAI
DUCATO,FIAT
PUNTO,FIAT
LINEA,FIAT
DOBLO,FIAT
BRAVO,FIAT
IDEA,FIAT
FIORINO,FIAT
MASTER,RENAULT
TRANSIT,FORD
RANDON,RANDON
GUERRA,GUERRA
NOMA,NOMA
LIBRELATO,LIBRELATO
RECRUSUL,RECRUSUL
TRUCKVAN,TRUCKVAN
RODOVIARIA,RODOVIARIA
CAPTIVA,CHEVROLET
MONTANA,CHEVROLET
MARAJO,CHEVROLET
VECTRA,CHEVROLET
COBALT,CHEVROLET
ASTRA,CHEVROLET
SPIN,CHEVROLET
CLASSIC,CHEVROLET
OUTLANDER,MITSUBISHI
SOUL,KIA
SORENTO,KIA
SPORTAGE,KIA
CERATO,KIA
T4,TROLLER
T 4,TROLLER
T40,JAC
118IA,BMW
535IA,BMW
AIRCROSS,CITROEN
JUMPY,CITROEN
BOXER,PEUGEOT
LAND CRUISER,TOYOTA
CITY,HONDA
WR V,HONDA
WR-V,HONDA
JOURNEY,DODGE
KORANDO,SSANGYONG
KYRON,SSANGYONG
