id_instalacao,id_associado,id_veiculo,id_dispositivo,id_instalador,data_contrato,status_contrato,valor_instalacao,data_envio,data_entrega,status_envio,status_instalacao,termo_assinado,cidade_entrega,uf_entrega,ingested_at
8a3e38c473e4ad655a0e2bb23b2dd42d,0e415eb2b42108127acc6e16e9f90039,f2eb3254e72e9b8b4c50a8beb1586794,,083a8cde588b753d0645fc0b62431636,2025-03-05,ATIVO,90,,,,JÁ POSSUI,,Sarandi,PR,2026-02-05 01:54:33.557723 UTC
1d3a6f250c7ada29fcc237a2948af742,0553bc217eb9055b3a7e02bc7ca05dce,04a8ecfc1b8c15497251c9b11302ed54,,083a8cde588b753d0645fc0b62431636,2025-08-09,ATIVO,90,,,,JÁ POSSUI,,Sarandi,PR,2026-02-05 01:54:33.557723 UTC
89b3ac4de02af0cdee4f13e11493192d,383abb88e3460bc3b7cf55f4ab8e1800,3a7d4488df014baa783a530849fea743,,09e633d9690d8e5836ce75b81d2627a0,2025-11-30,ATIVO,80,,,,JÁ POSSUI,,Clevelândia,PR,2026-02-05 01:54:33.557723 UTC
21c71559c5c1cda823af602c8a391e8a,0721729966eaca0d9bde51d9dfd94a57,3b271891e029202f064ddd5157cda291,,224884e400ba4e9c9956ba0e34f2ecc7,2025-07-21,ATIVO,150,,,,JÁ POSSUI,,Porto Alegre,RS,2026-02-05 01:54:33.557723 UTC
50db161752ba0fa1c6d30c5d03be9a41,58799ca04e31c0e2519bc10049dc259e,e25fc807f726b65bfd5aaa7d75025919,,2bb48866b998cd464417e58edec24f64,2025-09-11,INADIMPLENTE,80,,,,PENDENTE,NÃO,Rolândia,PR,2026-02-05 01:54:33.557723 UTC
0fb4ddd45b809b1132ec70f32d8e969f,82a6acf0e7c328cfbf4b37235b77c52b,66025b78c5d3c0bc63aa7f2b0ecc2cd1,,2bb48866b998cd464417e58edec24f64,2025-06-17,ATIVO,80,,,,JÁ POSSUI,,Rolândia,PR,2026-02-05 01:54:33.557723 UTC
5ae4c8492eac2d2545f7a10695fe4adf,f589a21e7588a07c8e52d69631317d90,33a6e3d4459b53ddb6cdb56431ab654d,,2bb48866b998cd464417e58edec24f64,2026-01-15,ATIVO,80,,,,JÁ POSSUI,,Rolândia,PR,2026-02-05 01:54:33.557723 UTC
38277a34e54fe89228e5cd2fbb4fb094,07e37814dd82d3bb3b29fd3ac107219e,def54e637dd237e902a51f7464045729,,335efe0330963965b93029c812fbb891,2025-07-11,ATIVO,70,,,,JÁ POSSUI,,Ibaiti,PR,2026-02-05 01:54:33.557723 UTC
46829734277c7acb73a1c8e2f5ce0bd7,3a3c4278a8ecd5deef22c3a49c21a7e9,b2dd3f6f5f0987e15c23b35de95c5755,499c236ed3dec74aabed0421b2732e20,4a249c0d58bd699d3722654a7b265d77,2025-08-26,ATIVO,130,,,,INSTALADO,SIM,Ribeirão Pires,SP,2026-02-05 01:54:33.557723 UTC
d4618a1bfeffbb94e9ae567299122201,824f0abd7c5bbd5b968fcb691c276e54,0422145ead3f0c11a08475a61f0a71bc,3bdb1c129fc9c1ba6a628d26cee7e4be,4a249c0d58bd699d3722654a7b265d77,2025-08-26,ATIVO,130,,,,INSTALADO,SIM,Ribeirão Pires,SP,2026-02-05 01:54:33.557723 UTC
f4ff7cb702eb1d15e5201bdf88c7069e,5386e12a90d9104f4bfb3e0fe58583cf,41ce8b8ac78b0fb6b6000d424915bd07,e6b559c40892ca42c092569e3bbd0b39,4a249c0d58bd699d3722654a7b265d77,2025-08-26,ATIVO,130,,,,INSTALADO,SIM,Ribeirão Pires,SP,2026-02-05 01:54:33.557723 UTC
80c6021ebd686c27b1b788627055f32e,eec682616928818381c25b867a47d949,90eb7ac89355cfcde06d76c9d21628f3,,4d3637c24cea515792ab44afc231ca0c,2025-08-19,ATIVO,80,,,,JÁ POSSUI,,Joaquim Távora,PR,2026-02-05 01:54:33.557723 UTC
a43428dd4cab8892e6329fab6a56d4a2,b98b9d95f41121b1c78b329d52d6052a,34a02394d9fb20a1fc0421b5a0634a68,aab7134e365d1f022afb5affdd80c42b,4d3637c24cea515792ab44afc231ca0c,2025-09-10,ATIVO,80,,,,JÁ POSSUI,,Joaquim Távora,PR,2026-02-05 01:54:33.557723 UTC
ed071f86bbd6dca8d271cbf73892111d,2d9f9b078211c9f9e661377cd5fedfdb,51b46ec1d698f3ee955437ca2e348bc7,,7524b0fe1090e528a578e0f787dba3a6,2025-11-21,ATIVO,180,,,,JÁ POSSUI,,Porto Alegre,RS,2026-02-05 01:54:33.557723 UTC
e76787a1b5187759c148598c0b557144,e4c60e7edb23f1d8f667cc4ed2aa6eed,a0910efd788d9fa772a1e771851c9755,,7524b0fe1090e528a578e0f787dba3a6,2024-07-23,ATIVO,180,,,,JÁ POSSUI,,Porto Alegre,RS,2026-02-05 01:54:33.557723 UTC
