mes_referencia,uf,linha_veiculo,total_contratos,contratos_ativos,contratos_cancelados,valor_total_fipe_protegido
2026-02,BA,PESADOS,1,1,0,106000
2026-02,BA,LEVES,1,1,0,590000
2026-02,ES,PESADOS,1,1,0,197000
2026-02,ES,LEVES,1,1,0,56000
2026-02,GO,PESADOS,2,2,0,576000
2026-02,GO,LEVES,1,1,0,387000
2026-02,MG,PESADOS,1,1,0,366000
2026-02,MG,LEVES,1,1,0,19000
2026-02,MS,LEVES,1,1,0,518000
2026-02,MT,LEVES,2,2,0,477000
2026-02,PE,PESADOS,1,1,0,395000
2026-02,PR,LEVES,8,8,0,821000
2026-02,PR,PESADOS,3,3,0,453071
2026-02,PR,MOTOS,1,1,0,32000
2026-02,RJ,LEVES,4,4,0,1557000
2026-02,RS,LEVES,2,2,0,176000
2026-02,RS,MOTOS,2,2,0,187000
2026-02,RS,PESADOS,2,2,0,793000
2026-02,SC,LEVES,2,2,0,272000
2026-02,SP,LEVES,3,3,0,732000
2026-02,SP,MOTOS,1,1,0,58000
2026-01,BA,LEVES,2,2,0,447000
2026-01,BA,MOTOS,2,2,0,370000
2026-01,DF,PESADOS,1,1,0,89000
2026-01,MG,LEVES,2,2,0,840000
2026-01,MS,PESADOS,2,2,0,643000
2026-01,MS,LEVES,1,1,0,537000
2026-01,MS,MOTOS,1,1,0,462000
2026-01,MT,LEVES,1,1,0,169000
2026-01,PE,PESADOS,1,1,0,248000
2026-01,PR,LEVES,32,32,0,3000485
2026-01,PR,MOTOS,8,8,0,773022
2026-01,PR,PESADOS,6,6,0,1228503
2026-01,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,3,0,352509
2026-01,RJ,LEVES,1,1,0,184000
2026-01,RS,LEVES,9,9,0,1797842
2026-01,RS,MOTOS,1,1,0,54000
2026-01,RS,PESADOS,1,1,0,498166
2026-01,SC,LEVES,3,3,0,456933
2026-01,SC,PESADOS,1,1,0,418000
2026-01,SC,MOTOS,1,1,0,34000
2026-01,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,118309
2026-01,SP,LEVES,6,6,0,1534000
2026-01,SP,MOTOS,1,1,0,135000
2025-12,ES,LEVES,2,2,0,395000
2025-12,ES,MOTOS,1,1,0,201000
2025-12,ES,PESADOS,1,1,0,239000
2025-12,GO,PESADOS,3,3,0,1058000
2025-12,GO,LEVES,1,1,0,414000
2025-12,MG,MOTOS,1,1,0,307000
2025-12,MG,PESADOS,1,1,0,217000
2025-12,MG,LEVES,1,1,0,370000
2025-12,MS,LEVES,2,2,0,1144000
2025-12,MT,PESADOS,1,1,0,248000
2025-12,PE,PESADOS,1,1,0,141000
2025-12,PE,MOTOS,1,1,0,307000
2025-12,PR,LEVES,17,17,0,1661261
2025-12,PR,PESADOS,6,6,0,1397580
2025-12,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,2,0,250788
2025-12,PR,CARRETAS,1,0,1,50000
2025-12,RJ,LEVES,1,1,0,344000
2025-12,RJ,PESADOS,1,1,0,338000
2025-12,RS,MOTOS,2,2,0,1026000
2025-12,RS,LEVES,2,2,0,448461
2025-12,RS,PESADOS,1,1,0,484000
2025-12,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,104591
2025-12,SC,LEVES,7,7,0,695686
2025-12,SC,PESADOS,1,1,0,419000
2025-12,SC,MOTOS,1,1,0,415000
2025-12,SP,PESADOS,2,2,0,488000
2025-12,SP,MOTOS,1,1,0,294000
2025-11,,PESADOS,1,1,0,294119
2025-11,BA,LEVES,2,2,0,623000
2025-11,BA,PESADOS,2,2,0,466000
2025-11,CE,PESADOS,1,1,0,80000
2025-11,GO,LEVES,2,2,0,425000
2025-11,GO,PESADOS,1,1,0,488000
2025-11,MG,LEVES,2,2,0,295000
2025-11,MS,LEVES,2,2,0,283000
2025-11,MS,PESADOS,1,1,0,277000
2025-11,MS,MOTOS,1,1,0,86000
2025-11,MT,LEVES,1,1,0,529000
2025-11,PR,LEVES,15,12,2,867163
2025-11,PR,PESADOS,8,8,0,1680950
2025-11,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,3,0,269795
2025-11,PR,CARRETAS,1,1,0,37500
2025-11,RJ,LEVES,2,2,0,463000
2025-11,RS,LEVES,4,4,0,329448
2025-11,RS,MOTOS,2,2,0,982000
2025-11,RS,PESADOS,2,1,0,483645
2025-11,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,70233
2025-11,SC,LEVES,8,6,1,1276593
2025-11,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,2,0,271028
2025-11,SC,CARRETAS,1,1,0,37500
2025-11,SC,PESADOS,1,1,0,173979
2025-11,SP,LEVES,6,6,0,747856
2025-11,SP,PESADOS,1,1,0,450000
2025-10,BA,LEVES,1,1,0,183000
2025-10,ES,LEVES,1,1,0,205000
2025-10,GO,LEVES,1,1,0,312000
2025-10,MG,LEVES,2,2,0,758000
2025-10,MS,MOTOS,1,1,0,351000
2025-10,MT,LEVES,4,4,0,1115000
2025-10,MT,PESADOS,1,1,0,238000
2025-10,PR,LEVES,20,18,2,1254723
2025-10,PR,PESADOS,7,7,0,1784877
2025-10,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",5,5,0,362012
2025-10,RJ,MOTOS,2,2,0,395000
2025-10,RS,LEVES,2,2,0,587690
2025-10,SC,LEVES,4,4,0,161347
2025-10,SC,PESADOS,1,1,0,318000
2025-10,SC,MOTOS,1,1,0,104000
2025-10,SP,LEVES,4,4,0,1288080
2025-10,SP,PESADOS,3,3,0,468928
2025-10,SP,MOTOS,1,1,0,355000
2025-09,BA,MOTOS,2,2,0,351000
2025-09,BA,PESADOS,1,1,0,213000
2025-09,ES,LEVES,2,2,0,980000
2025-09,ES,PESADOS,1,1,0,436000
2025-09,MG,LEVES,1,1,0,294000
2025-09,MS,LEVES,2,2,0,580000
2025-09,MS,PESADOS,1,1,0,267000
2025-09,MT,MOTOS,1,1,0,215000
2025-09,PR,PESADOS,25,21,4,5380057
2025-09,PR,LEVES,19,16,2,2719283
2025-09,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",5,3,1,411308
2025-09,RJ,LEVES,1,1,0,342000
2025-09,RS,LEVES,3,3,0,320907
2025-09,RS,PESADOS,1,1,0,90158
2025-09,SC,PESADOS,5,4,0,1724666
2025-09,SC,LEVES,2,2,0,865000
2025-09,SC,MOTOS,1,1,0,73000
2025-09,SP,LEVES,4,4,0,388667
2025-09,SP,PESADOS,2,2,0,473389
2025-09,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,71168
2025-08,AC,PESADOS,1,1,0,320008
2025-08,BA,MOTOS,1,1,0,20000
2025-08,GO,PESADOS,1,1,0,561000
2025-08,MG,LEVES,2,2,0,667000
2025-08,MG,PESADOS,1,0,1,547177
2025-08,MS,LEVES,1,1,0,420000
2025-08,MS,PESADOS,1,1,0,508000
2025-08,MT,LEVES,2,2,0,791000
2025-08,MT,PESADOS,1,1,0,184000
2025-08,PR,PESADOS,19,17,2,6459023
2025-08,PR,LEVES,20,10,9,1146456
2025-08,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",10,6,1,834460
2025-08,PR,MOTOS,1,1,0,75000
2025-08,RJ,PESADOS,1,1,0,447000
2025-08,RJ,LEVES,1,1,0,191000
2025-08,RS,LEVES,5,5,0,1232304
2025-08,RS,PESADOS,2,1,1,363850
2025-08,SC,PESADOS,4,4,0,1720351
2025-08,SC,LEVES,3,3,0,159851
2025-08,SC,MOTOS,1,1,0,125000
2025-08,SP,LEVES,5,5,0,1562825
2025-08,SP,PESADOS,1,1,0,52000
2025-07,BA,LEVES,2,2,0,313000
2025-07,BA,PESADOS,1,1,0,259000
2025-07,ES,LEVES,3,3,0,1137000
2025-07,GO,LEVES,3,3,0,1172000
2025-07,GO,PESADOS,1,1,0,140000
2025-07,MS,PESADOS,1,1,0,569000
2025-07,MS,LEVES,1,1,0,585000
2025-07,MT,LEVES,2,2,0,234000
2025-07,PE,LEVES,1,1,0,432000
2025-07,PR,PESADOS,21,15,5,5513346
2025-07,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",10,9,0,920610
2025-07,PR,LEVES,11,8,3,1686624
2025-07,RJ,LEVES,1,1,0,596000
2025-07,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",4,3,1,321367
2025-07,RS,MOTOS,1,1,0,162000
2025-07,RS,LEVES,1,1,0,589000
2025-07,RS,PESADOS,1,0,1,76978
2025-07,SC,LEVES,6,6,0,1615993
2025-07,SP,LEVES,5,4,1,960854
2025-07,SP,PESADOS,4,4,0,765582
2025-06,BA,LEVES,2,2,0,676000
2025-06,BA,PESADOS,2,2,0,511000
2025-06,ES,LEVES,4,4,0,1069000
2025-06,ES,PESADOS,1,1,0,553000
2025-06,ES,MOTOS,1,1,0,198000
2025-06,GO,LEVES,1,1,0,74000
2025-06,MG,LEVES,2,2,0,343000
2025-06,MG,PESADOS,1,1,0,177000
2025-06,MG,MOTOS,1,1,0,26000
2025-06,MS,PESADOS,2,2,0,711000
2025-06,MT,LEVES,2,2,0,551000
2025-06,MT,PESADOS,1,1,0,570000
2025-06,PE,LEVES,1,1,0,193000
2025-06,PR,LEVES,13,11,2,1528950
2025-06,PR,PESADOS,7,4,1,3038323
2025-06,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",6,3,2,361833
2025-06,PR,MOTOS,1,1,0,168000
2025-06,RJ,PESADOS,2,2,0,1097000
2025-06,RJ,LEVES,1,1,0,324000
2025-06,RS,PESADOS,2,2,0,399455
2025-06,RS,LEVES,2,2,0,914000
2025-06,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,140045
2025-06,SC,LEVES,3,3,0,700000
2025-06,SC,MOTOS,2,2,0,238000
2025-06,SC,PESADOS,1,1,0,494173
2025-06,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,32554
2025-06,SP,PESADOS,2,2,0,943000
