mes_referencia,uf,linha_veiculo,total_contratos,contratos_ativos,contratos_cancelados,valor_total_fipe_protegido
2026-02,PR,PESADOS,1,1,0,125071
2026-01,PR,LEVES,11,11,0,619485
2026-01,PR,PESADOS,4,4,0,614503
2026-01,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,3,0,352509
2026-01,PR,MOTOS,1,1,0,15022
2026-01,RS,LEVES,1,1,0,48842
2026-01,RS,PESADOS,1,1,0,498166
2026-01,SC,LEVES,2,2,0,65933
2026-01,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,118309
2025-12,PR,LEVES,15,15,0,689261
2025-12,PR,PESADOS,4,4,0,708580
2025-12,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,2,0,250788
2025-12,PR,CARRETAS,1,0,1,50000
2025-12,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,104591
2025-12,RS,LEVES,1,1,0,51461
2025-12,SC,LEVES,3,3,0,58686
2025-11,,PESADOS,1,1,0,294119
2025-11,PR,LEVES,14,11,2,625163
2025-11,PR,PESADOS,7,7,0,1243950
2025-11,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,3,0,269795
2025-11,PR,CARRETAS,2,2,0,212500
2025-11,RS,LEVES,2,2,0,47448
2025-11,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,70233
2025-11,RS,PESADOS,1,0,0,81645
2025-11,SC,LEVES,4,2,1,156593
2025-11,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,2,0,271028
2025-11,SC,CARRETAS,1,1,0,37500
2025-11,SC,PESADOS,1,1,0,173979
2025-11,SP,LEVES,2,2,0,62856
2025-10,PR,LEVES,18,16,2,678723
2025-10,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",5,5,0,362012
2025-10,PR,PESADOS,5,5,0,1232877
2025-10,RS,LEVES,1,1,0,66690
2025-10,SC,LEVES,4,4,0,161347
2025-10,SP,PESADOS,2,2,0,267928
2025-10,SP,LEVES,1,1,0,20080
2025-09,PR,PESADOS,25,21,4,5380057
2025-09,PR,LEVES,13,10,2,708283
2025-09,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",5,3,1,411308
2025-09,RS,LEVES,1,1,0,39907
2025-09,RS,PESADOS,1,1,0,90158
2025-09,SC,PESADOS,3,2,0,884666
2025-09,SP,LEVES,2,2,0,70667
2025-09,SP,PESADOS,2,2,0,473389
2025-09,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,71168
2025-08,AC,PESADOS,1,1,0,320008
2025-08,MG,PESADOS,1,0,1,547177
2025-08,PR,PESADOS,18,16,2,5992023
2025-08,PR,LEVES,19,9,9,735456
2025-08,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",10,6,1,834460
2025-08,RS,PESADOS,2,1,1,363850
2025-08,RS,LEVES,1,1,0,69304
2025-08,SC,LEVES,3,3,0,159851
2025-08,SC,PESADOS,3,3,0,1210351
